Label,NOSE x,NOSE y,NOSE z,LEFT_EYE_INNER x,LEFT_EYE_INNER y,LEFT_EYE_INNER z,LEFT_EYE x,LEFT_EYE y,LEFT_EYE z,LEFT_EYE_OUTER x,LEFT_EYE_OUTER y,LEFT_EYE_OUTER z,RIGHT_EYE_INNER x,RIGHT_EYE_INNER y,RIGHT_EYE_INNER z,RIGHT_EYE x,RIGHT_EYE y,RIGHT_EYE z,RIGHT_EYE_OUTER x,RIGHT_EYE_OUTER y,RIGHT_EYE_OUTER z,LEFT_EAR x,LEFT_EAR y,LEFT_EAR z,RIGHT_EAR x,RIGHT_EAR y,RIGHT_EAR z,MOUTH_LEFT x,MOUTH_LEFT y,MOUTH_LEFT z,MOUTH_RIGHT x,MOUTH_RIGHT y,MOUTH_RIGHT z,LEFT_SHOULDER x,LEFT_SHOULDER y,LEFT_SHOULDER z,RIGHT_SHOULDER x,RIGHT_SHOULDER y,RIGHT_SHOULDER z,LEFT_ELBOW x,LEFT_ELBOW y,LEFT_ELBOW z,RIGHT_ELBOW x,RIGHT_ELBOW y,RIGHT_ELBOW z,LEFT_WRIST x,LEFT_WRIST y,LEFT_WRIST z,RIGHT_WRIST x,RIGHT_WRIST y,RIGHT_WRIST z,LEFT_PINKY x,LEFT_PINKY y,LEFT_PINKY z,RIGHT_PINKY x,RIGHT_PINKY y,RIGHT_PINKY z,LEFT_INDEX x,LEFT_INDEX y,LEFT_INDEX z,RIGHT_INDEX x,RIGHT_INDEX y,RIGHT_INDEX z,LEFT_THUMB x,LEFT_THUMB y,LEFT_THUMB z,RIGHT_THUMB x,RIGHT_THUMB y,RIGHT_THUMB z,LEFT_HIP x,LEFT_HIP y,LEFT_HIP z,RIGHT_HIP x,RIGHT_HIP y,RIGHT_HIP z,LEFT_KNEE x,LEFT_KNEE y,LEFT_KNEE z,RIGHT_KNEE x,RIGHT_KNEE y,RIGHT_KNEE z,LEFT_ANKLE x,LEFT_ANKLE y,LEFT_ANKLE z,RIGHT_ANKLE x,RIGHT_ANKLE y,RIGHT_ANKLE z,LEFT_HEEL x,LEFT_HEEL y,LEFT_HEEL z,RIGHT_HEEL x,RIGHT_HEEL y,RIGHT_HEEL z,LEFT_FOOT_INDEX x,LEFT_FOOT_INDEX y,LEFT_FOOT_INDEX z,RIGHT_FOOT_INDEX x,RIGHT_FOOT_INDEX y,RIGHT_FOOT_INDEX z
warrior,0.447208613,0.173364609,-0.242786095,0.458192557,0.1555278,-0.235800803,0.461841136,0.156609654,-0.236132786,0.466056585,0.157074004,-0.235962063,0.454892367,0.153254271,-0.210822001,0.455301315,0.152992815,-0.211315185,0.455431312,0.152365029,-0.211534947,0.491017371,0.168206602,-0.174638063,0.472964883,0.165871054,-0.061214276,0.454590201,0.200352818,-0.218465373,0.4478499,0.195095897,-0.188366055,0.554396629,0.295334905,-0.148450091,0.418751597,0.282309741,0.029067978,0.672365785,0.266865015,-0.227369115,0.315512002,0.242027164,-0.000519244,0.778451979,0.25841254,-0.36747846,0.216254339,0.198413849,-0.177734002,0.809094131,0.255382001,-0.389099807,0.185615152,0.187420577,-0.211880043,0.813077092,0.24923262,-0.433742762,0.180723995,0.185364604,-0.246368706,0.801075578,0.255343109,-0.389493734,0.192816257,0.193676919,-0.203922763,0.532477498,0.611103773,-0.048073772,0.453195542,0.601795435,0.047848761,0.655056417,0.74190408,-0.069875851,0.307959199,0.627278805,-0.239816442,0.772512674,0.886225462,0.059960693,0.288292289,0.864184618,-0.093503915,0.786636651,0.904175401,0.06096201,0.301530451,0.907964945,-0.085085653,0.79368484,0.949844599,-0.12298654,,,
warrior,0.456658632,0.216514364,-0.184645668,0.465749443,0.196437329,-0.186406687,0.469764352,0.19608447,-0.18671526,0.472839743,0.195906147,-0.186571762,0.461903811,0.196535304,-0.165679097,0.463550836,0.19564344,-0.166134328,0.465087384,0.194516018,-0.166352257,0.49642837,0.202708215,-0.156868547,0.484194279,0.201102853,-0.061569214,0.466669559,0.234961212,-0.170377329,0.461338609,0.236059055,-0.145372421,0.567963064,0.315890372,-0.134936854,0.439941943,0.312443107,-0.001970454,0.676937222,0.305276126,-0.205203295,0.335674465,0.309618115,-0.062719524,0.77023685,0.2947779,-0.337388128,0.242827624,0.297246456,-0.226933971,0.800699234,0.29355529,-0.357791126,0.214336723,0.29994145,-0.256593406,0.804608107,0.287950993,-0.399482012,0.210948676,0.29636991,-0.288760334,0.790605128,0.290730029,-0.358333141,0.222803593,0.298436731,-0.250816196,0.559162736,0.613811374,-0.03657265,0.483486354,0.624411583,0.036368411,0.657472253,0.77314496,-0.0648733,0.343311399,0.694431305,-0.152541116,0.767767429,0.913329959,0.005488725,0.31211412,0.909019709,-0.034084164,0.77897346,0.931503713,0.001322872,0.324414849,0.94628638,-0.027962843,0.768741727,0.967086971,-0.156958982,,,
warrior,0.426216543,0.243392348,-0.140551284,0.433937252,0.224586546,-0.142417654,0.436205089,0.225599945,-0.1426557,0.438017547,0.226519942,-0.142547756,0.431405455,0.222992659,-0.125424251,0.43247661,0.222845644,-0.125758916,0.433311611,0.222681433,-0.125894815,0.455268204,0.238073409,-0.123034701,0.448004723,0.235736489,-0.043803323,0.43178916,0.264738619,-0.130754009,0.427931309,0.265025407,-0.109751239,0.510959327,0.337986499,-0.100279473,0.412517458,0.34555918,0.001858774,0.600520074,0.33220017,-0.154542238,0.334449112,0.310041279,-0.038021289,0.671663404,0.35158971,-0.263684273,0.262679458,0.280841947,-0.161286518,0.689423442,0.349634886,-0.280551553,0.242089629,0.278289557,-0.184869498,0.693143368,0.349586338,-0.314616591,0.239781588,0.270783216,-0.209651515,0.686031818,0.354547739,-0.280504555,0.249449998,0.275653988,-0.179649338,0.495171964,0.611989379,-0.027467409,0.432935059,0.614183784,0.027273804,0.56695205,0.758727193,-0.099245071,0.317221552,0.693671703,-0.11873199,0.649477422,0.905378103,-0.046681777,0.287566215,0.918906808,-0.059756219,0.651781499,0.929743648,-0.050491415,0.299034357,0.95321548,-0.059428025,0.659710705,0.954631448,-0.170260057,,,
warrior,0.407237828,0.186234832,-0.179869428,0.413388401,0.165944278,-0.185260385,0.416634023,0.165194124,-0.185541272,0.421008259,0.164637476,-0.185383692,0.409789622,0.166343063,-0.159685582,0.410580724,0.165873647,-0.16013521,0.411103159,0.165300801,-0.16034396,0.448874623,0.169931203,-0.166958004,0.433785737,0.16935873,-0.049533881,0.419217199,0.205117255,-0.169163555,0.414325804,0.20740518,-0.137710318,0.524684966,0.270667136,-0.154391035,0.395596445,0.280684263,0.017837012,0.631535888,0.255061567,-0.231186584,0.294457316,0.237726599,-0.031455386,0.732568741,0.24549301,-0.353579402,0.198656678,0.198115408,-0.18819724,0.760188341,0.248905212,-0.371862173,0.167817086,0.197779894,-0.21491918,0.764829397,0.246232837,-0.414386362,0.163873076,0.192603558,-0.24971433,0.75470984,0.248736203,-0.37451905,0.175287753,0.196659952,-0.213618472,0.50933671,0.580625117,-0.050657529,0.429330826,0.590411305,0.050449349,0.629870117,0.734547138,-0.098296702,0.29077363,0.660676479,-0.172013611,0.748858988,0.881189346,-0.059528254,0.329467058,0.880036592,-0.023162557,0.762417555,0.90904355,-0.067731529,0.345347881,0.919870555,-0.013209459,0.754963875,0.928359568,-0.243610457,,,
warrior,0.588736832,0.126363546,-0.514288247,0.586390615,0.104632646,-0.490057766,0.586721659,0.103442997,-0.490392953,0.587211311,0.102210999,-0.490468532,0.579869092,0.10437578,-0.520904601,0.575619042,0.103242934,-0.521276593,0.570525229,0.101455867,-0.521345198,0.562125862,0.107469916,-0.339698792,0.542434216,0.103492253,-0.479025841,0.584157169,0.146805614,-0.453674585,0.573096752,0.145273596,-0.496641189,0.603034317,0.251743853,-0.210414246,0.438370556,0.218534201,-0.414573908,0.75305748,0.271871626,-0.18834123,0.27882269,0.236760736,-0.476561934,0.894269824,0.272581846,-0.342633486,0.112687647,0.223481268,-0.620094717,0.93395865,0.276931465,-0.366705805,0.064465255,0.21708566,-0.65528667,0.936171949,0.272863626,-0.426402539,0.059508681,0.214427769,-0.721886456,0.922747016,0.276771903,-0.375420094,0.071555555,0.219532594,-0.65678519,0.560985625,0.53477484,0.076989919,0.469769835,0.539302588,-0.077370346,0.767977834,0.575241566,-0.167511046,0.321042657,0.706545293,-0.214193776,0.768979728,0.836308837,0.066832758,0.153295934,0.881134629,-0.073532894,0.743420243,0.877440929,0.08109387,0.124943018,0.898116827,-0.065253973,0.857073665,0.903347552,-0.068429545,,,
warrior,0.415391594,0.301364601,-0.382912993,0.432721496,0.289513111,-0.388257623,0.437377185,0.290438384,-0.388718396,0.441704214,0.291245311,-0.388568401,0.430732965,0.288962781,-0.36369589,0.43362093,0.289912432,-0.364325374,0.436944425,0.290677696,-0.364647448,0.478910983,0.310724378,-0.349906057,0.468886584,0.311261147,-0.236526847,0.421899915,0.323817015,-0.363404751,0.420079857,0.323867261,-0.333964616,0.591224134,0.386063457,-0.283248127,0.392731607,0.400313586,-0.159012645,0.745267034,0.397820741,-0.354250342,0.245803744,0.399541259,-0.235286057,0.894885778,0.405158252,-0.521569312,0.119261354,0.39055115,-0.450193346,0.937980711,0.400477886,-0.540171981,0.074216008,0.389290661,-0.494675249,0.945121288,0.399024338,-0.612396657,0.067193896,0.387469709,-0.543528795,0.930211902,0.403780878,-0.556206346,0.087783605,0.39184171,-0.484529942,0.572449148,0.672540545,-0.033402491,0.453481942,0.666432858,0.033080958,0.754425943,0.791093528,-0.071064211,0.257480532,0.648125768,-0.267068923,0.952163339,0.903793514,-0.050220001,0.237523541,0.87197423,-0.073933735,0.973287821,0.918581963,-0.063738286,0.260112792,0.902144253,-0.059489321,0.961262822,0.933967471,-0.287632287,,,
warrior,0.48910746,0.126969576,-0.119224295,0.499856383,0.105923027,-0.128876314,0.503231585,0.106958777,-0.129169494,0.50639528,0.107796133,-0.129072413,0.49823904,0.10393209,-0.098758601,0.499674171,0.103821844,-0.099187985,0.501243293,0.103438497,-0.099347472,0.528458774,0.120665699,-0.137036562,0.524189472,0.119057894,0.000459918,0.497033119,0.156253576,-0.119497165,0.494602233,0.155472875,-0.082168959,0.591985047,0.26286304,-0.160869539,0.487185895,0.256174773,0.078388594,0.711649895,0.260977924,-0.248492673,0.378864586,0.237342447,0.039168984,0.814735174,0.27655524,-0.338207841,0.280256331,0.235567212,-0.105523609,0.843461573,0.276509136,-0.353804022,0.254871458,0.226631016,-0.123147123,0.848036528,0.279636413,-0.387859702,0.249579713,0.221044153,-0.156231865,0.83879602,0.281654865,-0.354699671,0.260950863,0.22770232,-0.129532322,0.592836082,0.626464546,-0.071185857,0.522426426,0.631447315,0.070923023,0.712849677,0.76008296,-0.111224115,0.397496462,0.620053589,-0.11300768,0.851535976,0.883018374,-0.082662195,0.396242052,0.870527625,-0.030924495,0.873230696,0.90694803,-0.089442998,0.410350829,0.918317318,-0.027186995,0.848278344,0.95092684,-0.236890867,,,
warrior,0.489721596,0.2258697,-0.349764764,0.498366326,0.200544357,-0.350008696,0.501531005,0.20003131,-0.350278765,0.504625499,0.199678317,-0.350235581,0.495194167,0.200367987,-0.333065033,0.495980382,0.19927308,-0.333463311,0.496679753,0.197772831,-0.333525211,0.530547142,0.207354486,-0.297843874,0.520226061,0.206629664,-0.221388623,0.502322197,0.247520924,-0.32601133,0.495998532,0.247365698,-0.305874288,0.61284399,0.319984466,-0.206821755,0.477876186,0.330968618,-0.151848793,0.732987046,0.317513376,-0.237325564,0.354953676,0.342916816,-0.179600149,0.838523269,0.310200274,-0.337633133,0.245792806,0.354794025,-0.321547925,0.866750896,0.317377418,-0.35587129,0.216670036,0.346680552,-0.346486956,0.870665729,0.31560427,-0.400824666,0.21696268,0.350767314,-0.387461066,0.859995067,0.318320721,-0.359403759,0.224350974,0.355797887,-0.347355336,0.578960478,0.615622997,0.017481307,0.49999404,0.617173672,-0.01793075,0.73110795,0.606213748,-0.221851394,0.360823542,0.739721656,-0.166920349,0.781013489,0.842041016,-0.033870965,0.258112371,0.896147966,-0.028211972,0.76842016,0.886324406,-0.022187687,0.25903219,0.937395036,-0.017950743,0.85371232,0.872411251,-0.156073853,,,
warrior,0.516928554,0.194289029,-0.189752713,0.514335513,0.176305145,-0.169745669,0.514915109,0.175821751,-0.170046002,0.515804708,0.175289422,-0.17001757,0.506974757,0.175922185,-0.186668783,0.503328562,0.175902814,-0.18699947,0.499618679,0.17600894,-0.187058792,0.497971624,0.185079217,-0.068162233,0.474492908,0.184541494,-0.142898887,0.515103579,0.217193305,-0.149544135,0.507247686,0.215712428,-0.173909605,0.540234923,0.298124045,-0.01621935,0.405175954,0.305752128,-0.113061085,0.654269993,0.281660885,-0.027234633,0.296543241,0.289651811,-0.181370437,0.739454031,0.273497999,-0.159751713,0.201809868,0.289571434,-0.299035072,0.76810497,0.275449783,-0.179013401,0.175351173,0.290416211,-0.320825815,0.771473646,0.273707539,-0.217336148,0.169318855,0.286180198,-0.359763294,0.759113193,0.278674245,-0.181612149,0.181843936,0.289933503,-0.322866201,0.498658925,0.619012654,0.051302776,0.424660265,0.604324281,-0.051531993,0.640540123,0.689007103,-0.189835668,0.320776105,0.769281387,-0.149331316,0.673101425,0.919669688,-0.068948045,0.196511745,0.917856693,-0.112301126,0.661458731,0.958108544,-0.06491565,0.180393487,0.940991044,-0.114815034,0.742312968,0.962837815,-0.19826448,,,
warrior,0.48910746,0.126969576,-0.119224295,0.499856383,0.105923027,-0.128876314,0.503231585,0.106958777,-0.129169494,0.50639528,0.107796133,-0.129072413,0.49823904,0.10393209,-0.098758601,0.499674171,0.103821844,-0.099187985,0.501243293,0.103438497,-0.099347472,0.528458774,0.120665699,-0.137036562,0.524189472,0.119057894,0.000459918,0.497033119,0.156253576,-0.119497165,0.494602233,0.155472875,-0.082168959,0.591985047,0.26286304,-0.160869539,0.487185895,0.256174773,0.078388594,0.711649895,0.260977924,-0.248492673,0.378864586,0.237342447,0.039168984,0.814735174,0.27655524,-0.338207841,0.280256331,0.235567212,-0.105523609,0.843461573,0.276509136,-0.353804022,0.254871458,0.226631016,-0.123147123,0.848036528,0.279636413,-0.387859702,0.249579713,0.221044153,-0.156231865,0.83879602,0.281654865,-0.354699671,0.260950863,0.22770232,-0.129532322,0.592836082,0.626464546,-0.071185857,0.522426426,0.631447315,0.070923023,0.712849677,0.76008296,-0.111224115,0.397496462,0.620053589,-0.11300768,0.851535976,0.883018374,-0.082662195,0.396242052,0.870527625,-0.030924495,0.873230696,0.90694803,-0.089442998,0.410350829,0.918317318,-0.027186995,0.848278344,0.95092684,-0.236890867,,,
